Regional,Municipio,Empreendimento,Modalidade,Classe,Atividade,Ano,Mes,Data de Publicacao,Decisao
SUPRAM Central Metropolitana,Sete Lagoas,CALÇAMENTOS EM MOSAICOS LISBRASIL LTDA,LAS RAS,2,A-02-06-2-(DN74)LAVRA A CÉU ABERTO COM OU SEM TRATAMENTO - ROCHAS ORNAMENTAIS E DE REVESTIMENTO (EXCETO QUARTZITO),2019,Junho,29/06/2019,Indeferida
SUPRAM Central Metropolitana,Três Marias,HIGOR GUSTAVO DE MENDONÇA/FAZENDA CAIÇARA,LAS RAS,3,G-02-12-7-(DN74)AQUICULTURA CONVENCIONAL E/OU UNIDADE DE PESCA ESPORTIVA TIPO PESQUE-PAGUE,2019,Junho,29/06/2019,Indeferida
SUPRAM Central Metropolitana,Curvelo,POSTO DENISE II LTDA,LAS RAS,3,"F-06-01-7-(DN74)Postos revendedores, postos de abastecimento, instalações de  sistemas retalhistas e postos flutuantes de combustíveis.",2019,Junho,29/05/2019,Deferida
SUPRAM Central Metropolitana,Paraopeba,T. B. LOCH E CIA LTDA,LAS RAS,3,"B-01-09-0-(DN74)Aparelhamento, beneficiamento, preparação e transformação de  minerais não metálicos, não associados à extração.",2019,Junho,29/06/2019,Deferida
SUPRAM Central Metropolitana,Vespasiano,ETE VESPASIANO/SEDE,LAS RAS,3,E-03-06-9-(DN74)Tratamento de esgotos sanitários.,2019,Junho,29/06/2019,Deferida
SUPRAM Central Metropolitana,Esmeraldas,FAZENDA NOSSA SENHORA DA CONCEIÇÃO/ GRANJA FORORO,LAS RAS,3,D-01-13-9-(DN74)Formulação de rações balanceadas e de alimentos preparados para animais.,2019,Junho,29/06/2019,Deferida
SUPRAM Central Metropolitana,Jaboticatubas,GRAZIELLE MOREIRA COTA BASTOS,LAS RAS,2,"G-01-01-5-(DN74)Horticultura (floricultura, cultivo de hortaliças, legumes e especiarias.",2019,Junho,29/06/2019,Indeferida
SUPRAM Central Metropolitana,Jequitibá,ALEXANDRE GONTIJO GONZAGA /FAZENDA COLORADO ,LAS RAS,2,G-02-02-1-Avicultura,2019,Junho,29/06/2019,Indeferida
SUPRAM Central Metropolitana,Curvelo,MINERAÇÃO RETIRO LTDA ,LAS RAS,3,A-05-04-6-(DN74)PILHA DE REJEITO/ESTÉRIL DE ROCHAS ORNAMENTAIS E DE REVESTIMENTO,2019,Junho,29/06/2019,Indeferida
SUPRAM Central Metropolitana,Baldim,HELBERT RONDINELLE AUGUSTO - FAZENDA CÓRREGO FUNDO,LAS RAS,2,G-02-02-1-Avicultura,2019,Junho,29/06/2019,Deferida
SUPRAM Central Metropolitana,Sete Lagoas,RENATA BARBOSA COUTINHO DAYRELL / SÍTIO TERRA NOVA,LAS RAS,2,G-02-02-1-Avicultura,2019,Junho,29/06/2019,Deferida
SUPRAM Central Metropolitana,Itatiaiuçu,AUTO POSTO RODOCHAVES LTDA,LAS RAS,3,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,29/06/2019,Deferida
SUPRAM Central Metropolitana,Sete Lagoas,POSTO 7 VAREJISTAS LTDA,LAS RAS,3,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,29/06/2019,Deferida
SUPRAM Central Metropolitana,Pedro Leopoldo,MINERAÇÃO CAMPINHO LTDA,LAS RAS,2,"A-02-07-0-Lavra a céu aberto - Minerais não metálicos, exceto rochas ornamentais e de revestimento",2019,Junho,29/06/2019,Indeferida
SUPRAM Central Metropolitana,Fortuna de Minas,EAC ASSESSORIA EM GESTÃO EMPRESARIAL LTDA - FAZENDA CHÁCARA VARGEM DO ESPRAIADO,LAS RAS,3,A-03-01-8-Extração de areia e cascalho para utilização imediata na construção civil,2019,Junho,29/06/2019,Indeferida
SUPRAM Central Metropolitana,Belo Vale,KMM MINERAÇÃO E COMÉRCIO LTDA - ME/FAZENDA NOSSA SENHORA APARECIDA,LAS RAS,2,A-02-09-7-Extração de rocha para produção de britas,2019,Junho,29/06/2019,Indeferida
SUPRAM Central Metropolitana,Papagaios,MINERAÇÃO ALTO DAS PEDRAS LTDA - FAZENDA RIO PRETO/ LAGOA PRETA,LAS RAS,2,A-02-06-2-Lavra a céu aberto - Rochas ornamentais e de revestimento,2019,Junho,29/06/2019,Indeferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Centralina,REDE DE POSTOS MARAJÓ CENTRALINA LTDA ,LAC 1 - LP + LI + LO,3,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,28/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Uberaba,MOSAIC FERTILIZANTES P & K LTDA,LO,3,"C-04-18-9-(DN74)Fabricação de produto intermediários para fins fertilizantes (uréia, nitratos de amônio (NA e CAN), fosfatos de amônio (DAP e MAP) e fosfatos (SSP e TSP).",2019,Junho,27/06/2019,Deferida
SUPRAM Zona da Mata,Santos Dumont,MINERAÇÃO SANTA IZABEL LTDA ME,LAS RAS,2,A-02-06-2-Lavra a céu aberto - Rochas ornamentais e de revestimento,2019,Junho,28/06/2019,Indeferida
SUPRAM Zona da Mata,Rodeiro,E A NOGUEIRA ME,LAS RAS,3,A-03-01-8-Extração de areia e cascalho para utilização imediata na construção civil,2019,Junho,28/06/2019,Indeferida
SUPRAM Zona da Mata,Jequeri,JOSE BRAGA MARTINS,LAS RAS,3,G-02-04-6-Suinocultura,2019,Junho,28/06/2019,Deferida
SUPRAM Zona da Mata,Dores de Campos,INDUSTRIA E COMERCIO DE COUROS ANDRADE LTDA ME,LAS Cadastro,2,C-09-03-2-Confecção de calçados de couro e artefatos diversos de couro,2019,Junho,29/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Conceição das Alagoas,DELTA SUCROENERGIA S.A - UNIDADE VOLTA GRANDE  FAZENDA PRATA DE BAIXO (CACHOEIRA),REVLO,6,D-01-08-2-(DN74)Fabricação e refinação de açúcar.,2019,Junho,25/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Uberlândia,FRIGORIFICO LUCIANA LTDA,LOC,5,"D-01-03-1-(DN74)Abate de animais de médio e grande porte (suínos, ovinos, caprinos, bovinos, eqüinos, bubalinos, muares, etc.).",2019,Junho,25/06/2019,Deferida
SUPRAM Central Metropolitana,Betim,SAE TOWERS BRASIL TORRES DE TRANSMISSÃO LTDA,REVLO,5,"B-05-03-7-(DN74)Fabricação de estruturas metálicas e artefatos de trefilados de ferro, aço e de metais não-ferrosos, com tratamento químico superficial, exclusive móveis.",2019,Junho,26/06/2019,Arquivamento
SUPRAM Central Metropolitana,Sete Lagoas,SAAE SETE LAGOAS - ETE TAMANDUÁ,LAS RAS,2,E-03-06-9-Estação de tratamento de esgoto sanitário,2019,Junho,26/06/2019,Arquivamento
SUPRAM Central Metropolitana,Sete Lagoas,SAAE SETE LAGOAS - ETE BARREIRO,LAS RAS,2,E-03-06-9-Estação de tratamento de esgoto sanitário,2019,Junho,26/06/2019,Arquivamento
SUPRAM Central Metropolitana,Sete Lagoas,SAAE SETE LAGOAS - ETE BLUE GARDEN,LAS RAS,2,E-03-06-9-Estação de tratamento de esgoto sanitário,2019,Junho,26/06/2019,Arquivamento
