Regional,Municipio,Empreendimento,Modalidade,Classe,Atividade,Ano,Mes,Data de Publicacao,Decisao
SUPRAM Alto São Francisco,Santo Antônio do Monte,FRANCISCO DE ASSIS MOURA EIRELI ME,LAS RAS,3,A-03-01-8-Extração de areia e cascalho para utilização imediata na construção civil,2019,Junho,28/06/2019,Deferida
SUPRAM Zona da Mata,Reduto,RIO MANHUAÇU ENERGÉTICA S A,REVLO,3,"E-02-01-1-Sistemas de geração de energia hidrelétrica, exceto Central Geradora Hidrelétrica - CGH",2019,Junho,05/06/2019,Deferida
SUPRAM Alto São Francisco,Passa Tempo,CASSIO DE CASTRO FAZENDA OURO VERDE,LO,3,"G-01-05-8-(DN74)Culturas perenes e cultivos classificados no programa de produção integrada conforme normas no Ministerio da Agricultura, exceto Cafeicultura e Citricultura.",2019,Junho,17/05/2019,Arquivamento
SUPRAM Alto São Francisco,Pará de Minas,LAMIL LAGE MINERIOS LTDA,LOC,3,"B-01-09-0-Aparelhamento, beneficiamento, preparação e transformação de minerais não metálicos, não instalados na área da planta de extração",2019,Junho,24/04/2019,Arquivamento
SUPRAM Alto São Francisco,Córrego Fundo,ADELMO RODRIGUES VELOSO ME ,LAS RAS,2,B-01-02-3-Fabricação de cal virgem,2019,Junho,16/05/2019,Indeferida
SUPRAM Alto São Francisco,Córrego Fundo,SENA CAL LTDA ME,LAS RAS,2,B-01-02-3-Fabricação de cal virgem,2019,Junho,30/05/2019,Deferida
SUPRAM Alto São Francisco,Nova Serrana,HEBERT ALVES MENDES,LAS RAS,3,C-07-01-3-Moldagem de termoplástico não organoclorado,2019,Junho,28/05/2019,Deferida
SUPRAM Central Metropolitana,Prudente de Morais,MINAS CAL LOGSTICA LTDA,LAS Cadastro,1,F-02-01-1-Transporte rodoviário de produtos e resíduos perigosos,2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,Betim,J R PECAS E ACESSORIOS LTDA,LAS Cadastro,1,F-02-01-1-Transporte rodoviário de produtos e resíduos perigosos,2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,Igarapé,AAS RESÍDUOS EIRELI,LAS Cadastro,2,F-05-05-3-Compostagem de resíduos industriais,2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,Congonhas,AREAL LOBO LTDA,LAS Cadastro,2,A-03-01-8-Extração de areia e cascalho para utilização imediata na construção civil,2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,Papagaios,JOSY APARECIDA DE AMACENA GUIMARÃES,LAS Cadastro,2,F-05-07-1-Reciclagem ou regeneração de outros resíduos classe 2 (não-perigosos) não especificados,2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,Contagem,BBM LOGISTICA S.A.,LAS Cadastro,2,F-02-01-1-Transporte rodoviário de produtos e resíduos perigosos,2019,Junho,08/06/2019,Indeferida
SUPRAM Central Metropolitana,Mariana,CONTERPLAN CONSTRUÇÕES E TERRAPLENAGEM LTDA,LAS Cadastro,2,"F-06-04-6-Base de armazenamento e distribuição de lubrificantes, combustíveis líquidos derivados de petróleo, álcool combustível e outros combustíveis automotivos",2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,São Brás do Suaçuí,CERÂMICA NATIPOLY LTDA,LAS Cadastro,2,A-03-02-6-Extração de argila usada na fabricação de cerâmica vermelha,2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,Baldim,JÚLIO WEBER PORTO / GRANJA DOIS IRM,LAS Cadastro,2,G-02-02-1-Avicultura,2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,Itatiaiuçu,TRANSPORTES BIONDI LTDA,LAS Cadastro,1,F-02-01-1-Transporte rodoviário de produtos e resíduos perigosos,2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,Sabará,LENARGE TRANSPORTES E SERVIÇOS LTDA,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,Paraopeba,NOEL GERALDO DA CONCEIÇÃO RIBEIRO CPF 040.739.226-29,LAS Cadastro,2,"B-01-09-0-Aparelhamento, beneficiamento, preparação e transformação de minerais não metálicos, não instalados na área da planta de extração",2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,Congonhas,SAPPORO INDUSTRIA E COMÉRCIO LTDA,LAS Cadastro,2,F-05-07-1-Reciclagem ou regeneração de outros resíduos classe 2 (não-perigosos) não especificados,2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,Cristiano Otoni,CRISTIANENSE AUTO SERVIÇO LTDA,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,Cristiano Otoni,CRISTIANENSE AUTO SERVIÇO LTDA,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,Jaboticatubas,POSTO CRUZEIRO DO ENCONTRO LTDA - ME ,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,São José da Lapa,ARTE NATIVA PRODUTOS NATURAIS LTDA,LAS Cadastro,2,"D-01-14-7-Fabricação industrial de massas, biscoitos, salgados, chocolates, pães, doces, suplementos alimentares e ingredientes para indústria alimentícia",2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,Jaboticatubas,SETTORI DO BRASIL INDÚSTRIA DE ÓLEOS VEGETAIS EIRELI,LAS Cadastro,1,F-02-01-1-Transporte rodoviário de produtos e resíduos perigosos,2019,Junho,08/06/2019,Deferida
SUPRAM Central Metropolitana,Belo Horizonte,WTA PARTICIPAÇÕES LTDA.,LAS Cadastro,1,F-02-01-1-Transporte rodoviário de produtos e resíduos perigosos,2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Araguari,"AREIA SÃO JOSÉ EXTRAÇÃO, COMÉRCIO ETRANSPORTE LTDA - ME",LP+LI,4,A-03-01-8-Extração de areia e cascalho para utilização imediata na construção civil,2019,Junho,01/06/2019,Deferida
SUPRAM Norte de Minas,Porteirinha,ADRIANO MENDES DE ARAUJO - FAZENDA AMARGOSO,LAS Cadastro,2,A-03-01-8-Extração de areia e cascalho para utilização imediata na construção civil,2019,Junho,08/06/2019,Deferida
SUPRAM Norte de Minas,Janaúba,PESSIN & SOUZA LATICÍNIOS LTDA,LAS Cadastro,2,"D-01-06-1-Fabricação de produtos de laticínios, exceto envase de leite fluido",2019,Junho,08/06/2019,Deferida
SUPRAM Norte de Minas,Montes Claros,POSTO D'ANGELIS LTDA,LAS Cadastro,1,F-02-01-1-Transporte rodoviário de produtos e resíduos perigosos,2019,Junho,08/06/2019,Deferida
SUPRAM Norte de Minas,Montezuma,Clotides de Fátima Oliveira / Fazenda Boa Esperança - 6668,LAS Cadastro,2,G-03-03-4-Produção de carvão vegetal oriunda de floresta plantada,2019,Junho,08/06/2019,Deferida
SUPRAM Norte de Minas,Pirapora,POSTO CABOCLO LTDA.,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,08/06/2019,Deferida
SUPRAM Sul de Minas,Nepomuceno,CERÂMICA OLIVEIRA & OLIVEIRA LTDA. ,LAS Cadastro,2,A-03-02-6-Extração de argila usada na fabricação de cerâmica vermelha,2019,Junho,10/06/2019,Deferida
SUPRAM Sul de Minas,Paraisópolis, CENTRO AUTOMOTIVO SETE ESTRELAS LTDA. ,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,10/06/2019,Deferida
SUPRAM Sul de Minas,Monte Santo de Minas,CRISTIANE MARIA GIACOMELLI - CPF: 004.222.526-46 - EPP,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,10/06/2019,Deferida
SUPRAM Sul de Minas,Prados,EXTRAÇÃO DE QUARTZO PAULA E NEVES LTDA. ,LAS Cadastro,2,A-03-01-8-Extração de areia e cascalho para utilização imediata na construção civil,2019,Junho,10/06/2019,Deferida
SUPRAM Sul de Minas,Camanducaia,AUTO POSTO RIGA LTDA. ,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,10/06/2019,Deferida
SUPRAM Sul de Minas,Guaxupé, JAQUELINE MEIRELLES CLAUDINO ,LAS Cadastro,2,C-09-03-2-Confecção de calçados de couro e artefatos diversos de couro,2019,Junho,10/06/2019,Deferida
SUPRAM Jequitinhonha,Curral de Dentro,GRANFÉLIX MINERAÇÃO IND. E COMÉRCIO LTDA.,LAS Cadastro,2,B-01-01-5-Britamento de pedras para construção,2019,Junho,06/06/2019,Indeferida
SUPRAM Jequitinhonha,Divisópolis,POSTO DE COMBUSTIVEL AYUME ENZO LTDA,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,07/06/2019,Indeferida
SUPRAM Jequitinhonha,Almenara,MIX MATTAR CAPELINHA LTDA,LAS Cadastro,2,C-10-01-4-usinas de produção de concreto comum,2019,Junho,08/06/2019,Deferida
SUPRAM Jequitinhonha,Virgem da Lapa,POSTO E POUSADA CAIÇARA LTDA - ME,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,08/06/2019,Deferida
SUPRAM Jequitinhonha,Diamantina,CASA DO FAZENDEIRO DE DIAMANTINA COMÉRCIO DE INDÚSTRIA LTDA-EPP,LAS Cadastro,1,D-01-13-9-Formulação de rações balanceadas e de alimentos preparados para animais,2019,Junho,08/06/2019,Deferida
SUPRAM Jequitinhonha,Almenara,SOCIEDADE COMERCIAL SOGIMA LTDA,LAS Cadastro,2,A-03-02-6-Extração de argila usada na fabricação de cerâmica vermelha,2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Ituiutaba,ARLETE CARLOS FRANCO DE OLIVEIRA/FAZENDA SÃO LOURENÇO (ROCHEDO) MATRÍCULAS 19.459 E 19.460,LAS Cadastro,2,"G-02-07-0-Criação de bovinos, bubalinos, equinos, muares, ovinos e caprinos, em regime extensivo",2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Iturama,USINA DE LATICÍNIOS JUSSARA S/A,LAS Cadastro,1,D-01-07-4-Resfriamento e distribuição de leite em instalações industriais e/ou envase de leite fluido.,2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Monte Carmelo,ELLO E BARBOSA EMPREENDIMENTOS IMOBILIARIOS LTDA,LAS Cadastro,2,"E-04-01-4-Loteamento do solo urbano, exceto distritos industriais e similares",2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Araguari,JOSÉ DIVINO DE MORAES - EPP - DNPM: 832.244/2000 ,LAS Cadastro,2,A-03-02-6-Extração de argila usada na fabricação de cerâmica vermelha,2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Uberlândia,PARQUE UNA UBERLÂNDIA INCORPORADORA SPE LTDA ,LAS Cadastro,2,"E-04-01-4-Loteamento do solo urbano, exceto distritos industriais e similares",2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Uberlândia,CONTORNO COMERCIO DE PEÇAS AUTOMOTIVAS LTDA ,LAS Cadastro,2,F-05-16-0-Descaracterização de veículos,2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Conquista,AREIA DELTA LTDA,LAS Cadastro,2,A-03-01-8-Extração de areia e cascalho para utilização imediata na construção civil,2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Canápolis,BP BIOENERGIA ITUIUTABA LTDA/FAZENDA PILÃOZINHO MAT 8.797 ,LAS Cadastro,2,"G-01-03-1-Culturas anuais, semiperenes e perenes, silvicultura e cultivos agrossilvipastoris, exceto horticultura Pot.",2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Coromandel,AGROVAL AGROPECUÁRIA VALADARES LTDA ,LAS Cadastro,1,D-01-13-9-Formulação de rações balanceadas e de alimentos preparados para animais,2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Nova Ponte,FAZENDA BOA VISTA E SÃO SEBASTIÃO - MAT. 8.435 ,LAS Cadastro,2,"G-01-01-5-Horticultura (floricultura, olericultura, fruticultura anual, viveiricultura e cultura de ervas medicinais e aromáticas) Pot.",2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Ituiutaba,"MAURO OSCAR TAFNER/FAZENDA PÂNTANO,PROMISSÃO E NOSSA SENHORA APARECIDA MAT. 38.057; 38.058 E 53.328 ",LAS Cadastro,2,"G-02-07-0-Criação de bovinos, bubalinos, equinos, muares, ovinos e caprinos, em regime extensivo",2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Santa Vitória,SANTA VITÓRIA AÇÚCAR LTDA./FAZENDA NOSSA SENHORA APARECIDA MAT: 18.146;18.149;18.020;19.780 ,LAS Cadastro,2,"G-01-03-1-Culturas anuais, semiperenes e perenes, silvicultura e cultivos agrossilvipastoris, exceto horticultura Pot.",2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Santa Vitória,SANTA VITÓRIA AÇÚCAR LTDA./FAZENDA VALE ENCANTADO - MAT. 21.861; 21.862; 21.890 ,LAS Cadastro,2,"G-01-03-1-Culturas anuais, semiperenes e perenes, silvicultura e cultivos agrossilvipastoris, exceto horticultura Pot.",2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Uberlândia,IRMÃOS MENDES COMBUSTÍVEIS LTDA. ,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Cascalho Rico," MOIZES GOMES DE CASTRO/FAZENDA BORDA DA MATA – MAT. 6829, 6828, 6831, 10281, 10605 E 12408 ",LAS Cadastro,2,"G-02-07-0-Criação de bovinos, bubalinos, equinos, muares, ovinos e caprinos, em regime extensivo",2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Gurinhatã,BP BIOENERGIA ITUIUTABA LTDA/FAZENDA PRIMAVERA- MAT. 30.571 E 37.575 ,LAS Cadastro,2,"G-01-03-1-Culturas anuais, semiperenes e perenes, silvicultura e cultivos agrossilvipastoris, exceto horticultura Pot.",2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Uberlândia,CASCALHEIRA BOA VEREDA LTDA,LAS Cadastro,2,A-03-01-8-Extração de areia e cascalho para utilização imediata na construção civil,2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Uberlândia,JUNCO INDUSTRIA E COMÉRCIO LTDA ,LAS Cadastro,2,"D-01-14-7-Fabricação industrial de massas, biscoitos, salgados, chocolates, pães, doces, suplementos alimentares e ingredientes para indústria alimentícia",2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,União de Minas,MARTHIUS ANDREY WANDERLEY BERTOLDO DE VIVEIROS E OUTRAS/FAZENDA VARGINHA MAT. 1.530 ,LAS Cadastro,2,"G-01-03-1-Culturas anuais, semiperenes e perenes, silvicultura e cultivos agrossilvipastoris, exceto horticultura Pot.",2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Campina Verde,JUÇANIA FERREIRA DE MIRANDA CAETANO VIEIRA/FAZENDA VEREDA DO BORÁ -  MAT. 18.856 ,LAS Cadastro,2,"G-02-07-0-Criação de bovinos, bubalinos, equinos, muares, ovinos e caprinos, em regime extensivo",2019,Junho,08/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Santa Vitória,MAURO OSCAR TAFNER/FAZENDA J.M. - MAT. 9.431 ,LAS Cadastro,2,"G-02-07-0-Criação de bovinos, bubalinos, equinos, muares, ovinos e caprinos, em regime extensivo",2019,Junho,08/06/2019,Deferida
SUPRAM Alto São Francisco,Nova Serrana,STAR FLEX  CALCADOS LTDA,LOC,3,C-09-03-2-Confecção de calçados de couro e artefatos diversos de couro,2019,Junho,19/02/2019,Arquivamento
SUPRAM Central Metropolitana,São José da Lapa,PEROBAS LTDA - ME,LAS RAS,3,A-03-01-8-(DN74)Extração de areia e cascalho para utilização imediata na construção civil,2019,Junho,07/06/2019,Indeferida
SUPRAM Central Metropolitana,Esmeraldas,MINERAÇÃO URUCUIA LTDA.,LAS RAS,3,A-03-01-8-(DN74)Extração de areia e cascalho para utilização imediata na construção civil,2019,Junho,07/06/2019,Deferida
SUPRAM Central Metropolitana,Inhaúma,PETRAMAR COMÉRCIO E TRANSPORTE LTDA,LAS RAS,3,"A-02-07-0-(DN74)LAVRA A CÉU ABERTO SEM TRATAMENTO OU COM TRATAMENTO A SECO MINERAIS NÃO METÁLICOS, EXCETO EM ÁREAS CÁRSTICAS OU ROCHAS ORNAMENTAIS E DE    REVESTIMENTO ",2019,Junho,08/06/2019,Indeferida
SUPRAM Sul de Minas,Candeias, GAIA EMPREENDIMENTOS AMBIENTAIS LTDA. - SÍTIO SANTA LUIZA ,LAS Cadastro,2,F-05-05-3-Compostagem de resíduos industriais,2019,Junho,11/06/2019,Deferida
SUPRAM Sul de Minas,Perdões, LOTEAMENTO VILA REAL ,LAS Cadastro,2,"E-04-01-4-Loteamento do solo urbano, exceto distritos industriais e similares",2019,Junho,11/06/2019,Deferida
SUPRAM Sul de Minas,Pouso Alegre,VRTEC INDUSTRIA METALURGICA EIRELI,LAS Cadastro,2,"C-07-05-6-Moldagem de termoplástico organoclorado, sem a utilização de matéria-prima reciclada ou com a utilização de matéria-prima reciclada a seco",2019,Junho,11/06/2019,Deferida
SUPRAM Sul de Minas,São Sebastião do Paraíso,AGROPECUÁRIA TUIUTI S.A.,LAS Cadastro,1,D-01-07-4-Resfriamento e distribuição de leite em instalações industriais e/ou envase de leite fluido.,2019,Junho,11/06/2019,Deferida
SUPRAM Sul de Minas,Boa Esperança,COOPERATIVA AGROPECUÁRIA DE BOA ESPERANÇA,LAS Cadastro,1,F-02-01-1-Transporte rodoviário de produtos e resíduos perigosos,2019,Junho,11/06/2019,Deferida
SUPRAM Sul de Minas,Ipuiúna,GERALDO JOSÉ VAN LEEUWEN - FAZENDA CAMPO DAS AMORAS / SANTA FÉ,LAS Cadastro,2,"G-01-03-1-Culturas anuais, semiperenes e perenes, silvicultura e cultivos agrossilvipastoris, exceto horticultura Pot.",2019,Junho,12/06/2019,Indeferida
SUPRAM Sul de Minas,Paraguaçu,LOTEAMENTO JARDIM FLORESTA,LAS Cadastro,2,"E-04-01-4-Loteamento do solo urbano, exceto distritos industriais e similares",2019,Junho,12/06/2019,Deferida
SUPRAM Sul de Minas,Pouso Alegre, AUTO POSTO FALCÃO LTDA.,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,12/06/2019,Deferida
SUPRAM Sul de Minas,Pouso Alegre,AUTO POSTO PÂNTANO LTDA.,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,12/06/2019,Deferida
SUPRAM Sul de Minas,Santa Rita do Sapucaí,SANCOUT TECNOLOGIA ELETRÔNICA LTDA.,LAS Cadastro,2,"B-08-01-1-Fabricação de eletrodomésticos e/ou componentes eletroeletrônicos, inclusive lâmpadas",2019,Junho,12/06/2019,Deferida
SUPRAM Sul de Minas,Santo Antônio do Amparo,IPÊ COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,12/06/2019,Deferida
SUPRAM Sul de Minas,Varginha,AUTO POSTO TUPY LTDA.,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,12/06/2019,Deferida
SUPRAM Sul de Minas,Itamogi, PAULO REIS CAETANO - CPF - 773.998.206-78 - EPP,LAS Cadastro,2,C-07-01-3-Moldagem de termoplástico não organoclorado,2019,Junho,12/06/2019,Deferida
SUPRAM Triângulo Mineiro / Alto Paranaíba,Coromandel,COMERCIAL GRUPIARA LTDA,LAS RAS,3,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,11/06/2019,Deferida
SUPRAM Central Metropolitana,Santa Luzia,BETON MIX CONCRETO LTDA,LAS RAS,3,C-10-01-4-(DN74)Usinas de produção de concreto comum.,2019,Junho,12/06/2019,Deferida
SUPRAM Sul de Minas,São João del Rei, POSTO RESENDE COSTA LTDA.,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,13/06/2019,Deferida
SUPRAM Sul de Minas,Ilicínea,MARIA HELENA NAVES VILELA E OUTROS - FAZENDA BARREIRO,LAS Cadastro,2,"G-02-08-9-Criação de bovinos, bubalinos, equinos, muares, ovinos e caprinos, em regime de confinamento",2019,Junho,13/06/2019,Deferida
SUPRAM Central Metropolitana,Fortuna de Minas,PMZ AUTOMÓVEIS COMÉRCIO E MANUTENÇÃO LTD,LAS Cadastro,2,A-03-02-6-Extração de argila usada na fabricação de cerâmica vermelha,2019,Junho,14/06/2019,Deferida
SUPRAM Central Metropolitana,Curvelo,POSTO TREVINHO LTDA,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,14/06/2019,Deferida
SUPRAM Central Metropolitana,Sete Lagoas,IRMAOS SILVA SA,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,14/06/2019,Deferida
SUPRAM Central Metropolitana,Curvelo,AUTO POSTO VIANA LTDA,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,14/06/2019,Deferida
SUPRAM Central Metropolitana,Mateus Leme,MARMORARIA MATEUS LEME LTDA - M,LAS Cadastro,2,"B-01-09-0-Aparelhamento, beneficiamento, preparação e transformação de minerais não metálicos, não instalados na área da planta de extração",2019,Junho,14/06/2019,Deferida
SUPRAM Central Metropolitana,Papagaios,GILMAR JOSÉ LATALIZA M,LAS Cadastro,2,A-03-02-6-Extração de argila usada na fabricação de cerâmica vermelha,2019,Junho,14/06/2019,Deferida
SUPRAM Central Metropolitana,Belo Horizonte,EXPRESSO VERA CRUZ LTDA,LAS Cadastro,1,F-02-01-1-Transporte rodoviário de produtos e resíduos perigosos,2019,Junho,14/06/2019,Deferida
SUPRAM Central Metropolitana,Ribeirão das Neves,PACALUZ COMÉRCIO E LOGISTICA LTDA,LAS Cadastro,2,"F-06-04-6-Base de armazenamento e distribuição de lubrificantes, combustíveis líquidos derivados de petróleo, álcool combustível e outros combustíveis automotivos",2019,Junho,14/06/2019,Deferida
SUPRAM Central Metropolitana,Papagaios,MINERAR LTDA ,LAS Cadastro,2,"G-02-07-0-Criação de bovinos, bubalinos, equinos, muares, ovinos e caprinos, em regime extensivo",2019,Junho,14/06/2019,Deferida
SUPRAM Central Metropolitana,Congonhas,CASSIO MIGUEL SALES DIAS ME,LAS Cadastro,2,"B-01-09-0-Aparelhamento, beneficiamento, preparação e transformação de minerais não metálicos, não instalados na área da planta de extração",2019,Junho,14/06/2019,Deferida
SUPRAM Central Metropolitana,Contagem,ARIZONA LOGISTICA LTDA,LAS Cadastro,1,F-02-01-1-Transporte rodoviário de produtos e resíduos perigosos,2019,Junho,14/06/2019,Deferida
SUPRAM Central Metropolitana,Betim,4 A TRANSPORTES LTDA,LAS Cadastro,1,F-02-01-1-Transporte rodoviário de produtos e resíduos perigosos,2019,Junho,14/06/2019,Deferida
SUPRAM Central Metropolitana,Sete Lagoas,POSTO LAGOA DAS PEDRAS LTDA - M,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,14/06/2019,Deferida
SUPRAM Sul de Minas,Itutinga,PREFEITURA MUNICIPAL DE ITUTINGA - TRANSBORDO MUNICIPAL,LAS RAS,2,E-03-07-8-Estação de transbordo de resíduos sólidos urbanos,2019,Junho,12/06/2019,Deferida
SUPRAM Central Metropolitana,Paraopeba,PREFEITURA MUNICIPAL DE PARAOPEBA ,LAS Cadastro,2,"F-01-09-5-Central de recebimento, armazenamento, triagem e/ou transbordo de outros resíduos não listados ou não classificados",2019,Junho,14/06/2019,Indeferida
SUPRAM Central Metropolitana,Nova Lima,ÁGUA ALCALINA PERFEITA LTDA,LAS Cadastro,2,"D-02-07-0-Fabricação de refrigerantes (inclusive quando associada à extração de água mineral) e de outras bebidas não alcóolicas, exceto sucos",2019,Junho,14/06/2019,Indeferida
SUPRAM Sul de Minas,Varginha,BIOTÉCNICA INDUSTRIA E COMERCIO LTDA,LAC 1 - LP + LI + LO,4,"C-05-01-0-Fabricação de produtos para diagnósticos com sangue e hemoderivados, farmoquímicos (matéria-prima e princípios ativos), vacinas, produtos biológicos e /ou aqueles provenientes de organismos geneticamente modificados",2019,Junho,14/06/2019,Deferida
SUPRAM Alto São Francisco,Santo Antônio do Monte,ARTESANATO FOGOS CASCATA,LAS RAS,3,"C-04-08-1-Fabricação de explosivos, detonantes, munição para caça e desporto e fósforo de segurança e/ou fabricação de pólvora e artigos pirotécnicos",2019,Junho,24/05/2019,Deferida
